ID;Jugador;T;DAP;ASI;RE;RF;G;GDDA;GFDA;GCPI;GCPD;GDP;CG;GBP;GPP
abdessamad-ezzalzouli;Abde Ezzalzouli;19;10;0;17;16;1;1;0;0.00;0.05;0;0.00;0;0
abderrahman-rebbach;Abde Rebbach;1;0;0;3;4;0;0;0;0.00;0.00;0;0.00;0;0
abqar;Abdel Abqar;1;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
abdoulaye-keita;Abdoulaye Keita;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
abdul-mumin;Abdul Mumin;2;1;1;1;1;1;1;0;0.50;0.00;0;0.00;0;0
abdon;Abdón Prats;5;2;0;0;0;1;1;0;0.20;0.00;1;0.00;0;0
abel-bretones;Abel Bretones;3;3;0;5;5;2;1;1;0.67;0.00;0;0.00;0;0
abel-ruiz;Abel Ruiz;10;5;0;5;8;2;2;0;0.00;0.20;1;0.00;0;0
aboubacar-bassinga;Aboubacar Bassinga;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
adama-boiro;Adama Boiro;0;0;0;2;1;0;0;0;0.00;0.00;0;0.00;0;0
januzaj;Adnan Januzaj;2;0;1;4;5;0;0;0;0.00;0.00;0;0.00;0;0
embarba;Adri Embarba;6;2;1;5;10;0;0;0;0.00;0.00;0;0.00;0;0
adria-altimira;Adrià Alti;2;0;0;4;2;0;0;0;0.00;0.00;0;0.00;0;0
pedrosa-1;Adrià Pedrosa;4;1;1;6;3;0;0;0;0.00;0.00;0;0.00;0;0
adrian-2;Adrián San Miguel del Castillo;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
adrian-pica;Adrián Hernández Hernández;1;1;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
a-rodriguez-1;Adrián Rodríguez;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
malcom-adu-ares;Malcom Abdulai Ares Djaló;0;0;0;0;1;0;0;0;0.00;0.00;0;0.00;0;0
aihen;Aihen Muñoz;0;0;0;0;1;0;0;0;0.00;0.00;0;0.00;0;0
aimar-1;Aimar Oroz;7;4;0;5;7;1;1;0;0.14;0.00;0;0.00;0;0
aitor-fdez;Aitor Fernández;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
aitor-fraga;Aitor Fraga;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
paredes-2;Aitor Paredes;1;1;0;0;0;1;1;0;1.00;0.00;0;0.00;0;0
aitor-r;Aitor Ruibal;4;2;0;4;2;0;0;0;0.00;0.00;0;0.00;0;0
albert-mboyo-sambi-lokonga;Albert Sambi Lokonga;1;1;0;1;0;0;0;0;0.00;0.00;0;0.00;0;0
alberto-collado;Alberto Collado;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
alberto-flores;Alberto Flores;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
alberto-mari;Alberto Marí;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
a-moleiro;Alberto Moleiro;17;11;0;20;20;3;3;0;0.12;0.00;0;0.06;0;0
alberto-risco;Alberto Risco;1;1;0;1;5;0;0;0;0.00;0.00;0;0.00;0;0
alex-balde;Alejandro Balde;3;1;0;11;11;0;0;0;0.00;0.00;0;0.00;0;0
catena;Alejandro Catena;4;1;0;1;0;0;0;0;0.00;0.00;0;0.00;0;0
a-frances;Alejandro Francés;1;0;0;2;3;0;0;0;0.00;0.00;0;0.00;0;0
alejandro-iturbe;Alejandro Iturbe;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
alejo-veliz;Alejo Véliz;11;4;0;1;3;1;1;0;0.00;0.09;0;0.00;0;0
sedlar;Aleksandar Sedlar;1;0;0;0;1;0;0;0;0.00;0.00;0;0.00;0;0
berenguer;Alex Berenguer;9;4;2;7;10;0;0;0;0.00;0.00;0;0.00;0;0
alex-kral;Alex Král;4;0;0;10;6;0;0;0;0.00;0.00;0;0.00;0;0
alexander-sorloth;Alexander Sørloth;12;6;2;3;2;1;1;0;0.00;0.00;0;0.08;0;0
alfonso-1;Alfon González;6;3;0;5;5;0;0;0;0.00;0.00;0;0.00;0;0
a-espino;Alfonso Espino;2;1;0;3;2;0;0;0;0.00;0.00;0;0.00;0;0
ali-fadal;Ali Fadal;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
alvaro-abajas;Alvin Abajas;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
amath;Amath Ndiaye;5;1;1;4;3;0;0;0;0.00;0.00;0;0.00;0;0
ander-astralaga;Ander Astralaga;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
barrenetxea;Ander Barrenetxea;5;1;0;4;5;0;0;0;0.00;0.00;0;0.00;0;0
guevara;Ander Guevara;3;0;1;3;2;0;0;0;0.00;0.00;0;0.00;0;0
