ID;Jugador;TA;TR;SA;FDJ;FR;FC;PR;PCOM;FPM;FPT
abdessamad-ezzalzouli;Abde Ezzalzouli;0;0;0;1;1;0;0;0;0;0.00
abderrahman-rebbach;Abde Rebbach;1;0;0;0;2;2;0;0;0;2.00
abqar;Abdel Abqar;2;0;0;1;2;13;1;0;0;6.50
abdul-mumin;Abdul Mumin;2;0;0;0;1;3;0;0;0;1.50
abdon;Abdon Prats;0;0;0;0;1;0;0;0;0;0.00
abel-bretones;Abel Bretones;0;0;0;0;2;2;0;0;0;0.00
abel-ruiz;Abel Ruiz;1;0;0;2;3;4;0;0;0;4.00
aboubacar-bassinga;Aboubacar Bassinga;0;0;0;0;0;1;0;0;0;0.00
adama-boiro;Adama Boiro;0;0;0;0;0;2;0;0;0;0.00
embarba;Adri Embarba;1;0;0;3;5;7;0;0;1;7.00
adria-altimira;Adria Alti;0;0;0;0;1;0;0;0;0;0.00
pedrosa-1;Adria Pedrosa;1;0;0;0;3;4;0;0;0;4.00
adrian-2;Adrian San Miguel del Castillo;0;0;0;0;0;0;0;0;0;0.00
adrian-pica;Adrian Hernandez Hernandez;0;0;0;0;1;1;0;0;0;0.00
a-rodriguez-1;Adrian Rodriguez;0;0;0;0;0;0;0;0;0;0.00
malcom-adu-ares;Malcom Abdulai Ares Djalo;0;0;0;0;0;0;0;0;0;0.00
aihen;Aihen Munoz;1;0;0;0;1;1;0;0;0;1.00
aimar-1;Aimar Oroz;0;0;0;0;8;4;0;0;0;0.00
aitor-fdez;Aitor Fernandez;0;0;0;0;0;0;0;0;0;0.00
aitor-fraga;Aitor Fraga;0;0;0;0;0;0;0;0;0;0.00
paredes-2;Aitor Paredes;0;0;0;0;2;1;0;0;0;0.00
aitor-r;Aitor Ruibal;1;0;0;0;3;2;0;0;0;2.00
albert-mboyo-sambi-lokonga;Albert Sambi Lokonga;1;0;0;0;5;0;0;0;0;0.00
alberto-collado;Alberto Collado;0;0;0;0;0;0;0;0;0;0.00
alberto-flores;Alberto Flores;0;0;0;0;0;0;0;0;0;0.00
alberto-mari;Alberto Mari;0;0;0;0;0;1;0;0;0;0.00
a-moleiro;Alberto Moleiro;0;0;0;0;1;4;0;0;0;0.00
alberto-risco;Alberto Risco;0;0;0;0;0;1;0;0;0;0.00
alex-balde;Alejandro Balde;0;0;0;0;5;2;0;0;0;0.00
catena;Alejandro Catena;0;0;0;0;1;4;0;0;0;0.00
a-frances;Alejandro Frances;1;0;0;0;1;5;0;0;0;5.00
alejandro-iturbe;Alejandro Iturbe;0;0;0;0;0;0;0;0;0;0.00
alejo-veliz;Alejo Veliz;2;0;0;2;10;4;0;0;0;2.00
sedlar;Aleksandar Sedlar;1;1;0;0;2;4;0;0;0;4.00
berenguer;Alex Berenguer;1;0;0;0;4;4;1;0;0;4.00
alex-kral;Alex Kral;0;0;0;0;2;1;0;0;0;0.00
alexander-sorloth;Alexander Sørloth;0;0;0;1;2;2;0;0;0;0.00
alfonso-1;Alfon Gonzalez;0;1;0;0;4;3;0;0;0;0.00
a-espino;Alfonso Espino;1;0;0;0;8;9;0;0;0;9.00
ali-fadal;Ali Fadal;0;0;0;0;0;0;0;0;0;0.00
alvaro-abajas;Alvin Abajas;0;0;0;0;0;0;0;0;0;0.00
amath;Amath Ndiaye;0;0;0;0;1;2;0;0;1;0.00
ander-astralaga;Ander Astralaga;0;0;0;0;0;0;0;0;0;0.00
barrenetxea;Ander Barrenetxea;0;0;0;0;1;3;0;0;0;0.00
guevara;Ander Guevara;0;0;0;0;4;2;0;0;0;0.00
ander;Ander Herrera;2;0;0;0;2;5;0;0;0;2.50
gorosabel;Andoni Gorosabel;1;0;0;0;0;3;0;0;1;3.00
andreas-christensen;Andreas Christensen;1;0;0;0;0;1;0;0;0;1.00
