ID;Jugador;BLOQ;INTER;R;D;EE;EF;JUH;DE;DF;DAE;DAF
abdessamad-ezzalzouli;Abde Ezzalzouli;0;2;6;0;6;3;0;19;8;3;1
abderrahman-rebbach;Abde Rebbach;0;0;1;1;0;0;0;4;6;1;2
abqar;Abdel Abqar;1;10;12;21;3;2;0;9;16;2;1
abdul-mumin;Abdul Mumin;7;7;18;24;4;1;0;12;10;6;6
abdon;Abdón Prats;0;0;0;0;0;0;0;3;3;2;3
abel-bretones;Abel Bretones;1;1;11;5;5;2;0;12;9;2;2
abel-ruiz;Abel Ruiz;1;1;3;0;0;0;0;7;16;2;5
aboubacar-bassinga;Aboubacar Bassinga;0;0;0;0;0;0;0;0;2;0;0
adama-boiro;Adama Boiro;1;1;1;2;2;0;0;8;5;4;2
embarba;Adri Embarba;0;3;7;2;3;4;0;18;22;2;6
adria-altimira;Adrià Alti;1;1;7;2;2;0;0;6;7;1;3
pedrosa-1;Adrià Pedrosa;1;1;10;8;2;2;0;11;15;1;7
adrian-2;Adrián San Miguel del Castillo;0;0;0;0;0;0;0;0;0;0;0
adrian-pica;Adrián Hernández Hernández;2;1;3;2;1;0;0;5;7;3;4
a-rodriguez-1;Adrián Rodríguez;0;0;0;0;0;0;0;0;0;0;0
malcom-adu-ares;Malcom Abdulai Ares Djaló;0;0;1;0;0;0;0;0;4;0;0
aihen;Aihen Muñoz;0;0;0;5;1;0;0;2;4;0;2
aimar-1;Aimar Oroz;1;4;15;0;3;5;0;20;22;1;7
aitor-fdez;Aitor Fernández;0;0;0;0;0;0;0;0;0;0;0
aitor-fraga;Aitor Fraga;0;0;0;0;0;0;0;0;0;0;0
paredes-2;Aitor Paredes;1;0;1;8;0;0;0;4;2;3;0
aitor-r;Aitor Ruibal;0;1;6;0;1;1;0;6;12;1;2
albert-mboyo-sambi-lokonga;Albert Sambi Lokonga;1;0;10;2;3;0;0;10;2;2;2
alberto-collado;Alberto Collado;0;0;0;0;0;0;0;0;0;0;0
alberto-flores;Alberto Flores;0;0;0;0;0;0;0;0;0;0;0
alberto-mari;Alberto Marí;0;0;0;0;0;0;0;0;1;0;0
a-moleiro;Alberto Moleiro;0;0;9;0;2;3;0;15;23;0;4
alberto-risco;Alberto Risco;0;0;1;0;1;0;0;2;5;1;1
alex-balde;Alejandro Balde;1;2;7;2;1;0;0;13;14;3;2
catena;Alejandro Catena;2;5;13;20;1;4;0;17;7;10;2
a-frances;Alejandro Francés;1;5;7;2;4;3;0;8;10;0;0
alejandro-iturbe;Alejandro Iturbe;0;0;0;0;0;0;0;0;0;0;0
alejo-veliz;Alejo Véliz;2;1;8;9;1;0;0;29;18;17;9
sedlar;Aleksandar Sedlar;0;3;5;0;4;4;0;12;6;2;1
berenguer;Alex Berenguer;1;2;9;1;2;2;0;13;15;3;3
alex-kral;Alex Král;4;4;17;8;7;1;0;18;8;3;0
alexander-sorloth;Alexander Sørloth;0;0;6;1;0;1;0;14;11;10;5
alfonso-1;Alfon González;0;0;0;1;0;1;0;9;12;0;1
a-espino;Alfonso Espino;2;7;15;6;9;7;0;33;28;6;3
ali-fadal;Ali Fadal;0;0;0;0;0;0;0;0;0;0;0
alvaro-abajas;Alvin Abajas;0;0;0;0;0;0;0;0;0;0;0
amath;Amath Ndiaye;0;0;5;0;0;0;0;4;6;1;0
ander-astralaga;Ander Astralaga;0;0;0;0;0;0;0;0;0;0;0
barrenetxea;Ander Barrenetxea;0;2;5;4;0;0;0;3;11;1;3
guevara;Ander Guevara;0;1;16;6;3;4;0;13;16;0;4
ander;Ander Herrera;0;0;6;2;1;2;0;8;9;1;0
gorosabel;Andoni Gorosabel;0;0;1;2;0;1;0;2;4;0;0
andreas-christensen;Andreas Christensen;0;0;1;2;0;0;0;1;1;1;0
andrei;Andrei Ratiu;0;1;5;5;1;1;0;5;10;2;2
lunin;Andrii Lunin;0;0;0;0;0;0;0;0;0;0;0
