ID;Jugador;T;DAP;ASI;RE;RF;G;GDDA;GFDA;GCPI;GCPD;GDP;CG;GBP;GPP
abdessamad-ezzalzouli;Abde Ezzalzouli;5;1;0;6;3;0;0;0;0.00;0.00;0;0.00;0;0
abderrahman-rebbach;Abde Rebbach;0;0;0;2;1;0;0;0;0.00;0.00;0;0.00;0;0
abqar;Abdel Abqar;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
abdul-mumin;Abdul Mumin;0;0;1;0;1;0;0;0;0.00;0.00;0;0.00;0;0
abdon;Abdón Prats;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
abel-bretones;Abel Bretones;1;1;0;1;2;1;1;0;1.00;0.00;0;0.00;0;0
abel-ruiz;Abel Ruiz;8;5;0;2;2;2;2;0;0.00;0.25;1;0.00;0;0
aboubacar-bassinga;Aboubacar Bassinga;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
adama-boiro;Adama Boiro;0;0;0;2;1;0;0;0;0.00;0.00;0;0.00;0;0
embarba;Adri Embarba;4;1;1;4;3;0;0;0;0.00;0.00;0;0.00;0;0
adria-altimira;Adrià Alti;0;0;0;2;1;0;0;0;0.00;0.00;0;0.00;0;0
pedrosa-1;Adrià Pedrosa;4;1;0;3;1;0;0;0;0.00;0.00;0;0.00;0;0
adrian-2;Adrián San Miguel del Castillo;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
adrian-pica;Adrián Hernández Hernández;1;1;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
a-rodriguez-1;Adrián Rodríguez;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
malcom-adu-ares;Malcom Abdulai Ares Djaló;0;0;0;0;1;0;0;0;0.00;0.00;0;0.00;0;0
aihen;Aihen Muñoz;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
aimar-1;Aimar Oroz;6;3;0;3;4;0;0;0;0.00;0.00;0;0.00;0;0
aitor-fdez;Aitor Fernández;0;0;0;0;0;0;0;0;0.00;0.00;0;0.00;0;0
